I (318) main: Polysom ESP-IDF starting
I (418) display: Display ready
I (518) main: Reset reason: POWER-ON, boot count 1
I (568) sensors: MMA8451 #0 detected
I (568) sensors: MMA8451 #1 detected
I (578) sensors: LDC1612 detected
I (578) SDP800: product 0x03020201, serial 0x000000008A9CC6E6 - confirmed SDP810-125Pa
I (598) sensors: SDP800 detected
I (598) battery_gauge: Calibration initialized successfully
I (638) sdspi_transaction: cmd=5, R1 response: command not supported
I (788) logger: SD mounted: SC16G 15194 MB
I (7401218) logger: EDF: 740 records (123.3 min)
I (7501218) logger: EDF: 750 records (125.0 min)
I (7601218) logger: EDF: 760 records (126.7 min)
I (7701218) logger: EDF: 770 records (128.3 min)
I (7801218) logger: EDF: 780 records (130.0 min)
I (7901218) logger: EDF: 790 records (131.7 min)
I (8001218) logger: EDF: 800 records (133.3 min)
I (8101218) logger: EDF: 810 records (135.0 min)
I (8201218) logger: EDF: 820 records (136.7 min)
I (8301218) logger: EDF: 830 records (138.3 min)
I (8401218) logger: EDF: 840 records (140.0 min)
I (8501228) logger: EDF: 850 records (141.7 min)
I (8601218) logger: EDF: 860 records (143.3 min)
I (8701218) logger: EDF: 870 records (145.0 min)
I (8801218) logger: EDF: 880 records (146.7 min)
I (8901228) logger: EDF: 890 records (148.3 min)
I (9001228) logger: EDF: 900 records (150.0 min)
I (9101218) logger: EDF: 910 records (151.7 min)
I (9201218) logger: EDF: 920 records (153.3 min)
I (9301218) logger: EDF: 930 records (155.0 min)
I (9401218) logger: EDF: 940 records (156.7 min)
I (9501218) logger: EDF: 950 records (158.3 min)
I (9601218) logger: EDF: 960 records (160.0 min)
I (9701218) logger: EDF: 970 records (161.7 min)
I (9801218) logger: EDF: 980 records (163.3 min)
I (9901218) logger: EDF: 990 records (165.0 min)
I (10001218) logger: EDF: 1000 records (166.7 min)
I (10101218) logger: EDF: 1010 records (168.3 min)
I (10201218) logger: EDF: 1020 records (170.0 min)
I (10301218) logger: EDF: 1030 records (171.7 min)
I (10401228) logger: EDF: 1040 records (173.3 min)
I (10501218) logger: EDF: 1050 records (175.0 min)
I (10601218) logger: EDF: 1060 records (176.7 min)
I (10701218) logger: EDF: 1070 records (178.3 min)
I (10801228) logger: EDF: 1080 records (180.0 min)
I (10901228) logger: EDF: 1090 records (181.7 min)
I (11001228) logger: EDF: 1100 records (183.3 min)
I (11101228) logger: EDF: 1110 records (185.0 min)
I (11201228) logger: EDF: 1120 records (186.7 min)
I (11301228) logger: EDF: 1130 records (188.3 min)
I (11401228) logger: EDF: 1140 records (190.0 min)
I (11501228) logger: EDF: 1150 records (191.7 min)
I (11601218) logger: EDF: 1160 records (193.3 min)
I (11701218) logger: EDF: 1170 records (195.0 min)
I (11801228) logger: EDF: 1180 records (196.7 min)
I (11901228) logger: EDF: 1190 records (198.3 min)
I (12001228) logger: EDF: 1200 records (200.0 min)
I (12101228) logger: EDF: 1210 records (201.7 min)
